LandisData  "Dynamic Input Data"

>> Year	Ecoregion	Species	ProbEstab
0	BS4	Querdoug	0.5
0	BS4	Quergarr	0.5
0	BS4	Querkell	0.5
0	BS4	Querloba	0.5
0	BS4	Querwisl	0.5
0	BS4	Sequsemp	0.5
0	BS4	Umbecali	0.5
0	BS5	Abiebrac	0.5
0	BS5	Abiegran	0.5
0	BS5	Acermacr	0.5
0	BS5	Aesccali	0.5
0	BS5	Alnurhom	0.5
0	BS5	Alnurubr	0.5
0	BS5	Arbumenz	0.5
0	BS5	Lithdens	0.5
0	BS5	Pinuatte	0.5
0	BS5	Pinucoul	0.5
0	BS5	Pinulamb	0.5
0	BS5	Pinumono	0.5
0	BS5	Pinupond	0.5
0	BS5	Pinuradi	0.5
0	BS5	Pinusabi	0.5
0	BS5	Platrace	0.5
0	BS5	Popubals	0.5
0	BS5	Pseumacr	0.5
0	BS5	Pseumenz	0.5
0	BS5	Queragri	0.5
0	BS5	Querchry	0.5
0	BS5	Querdoug	0.5
0	BS5	Quergarr	0.5
0	BS5	Querkell	0.5
0	BS5	Querloba	0.5
0	BS5	Querwisl	0.5
0	BS5	Sequsemp	0.5
0	BS5	Umbecali	0.5
0	BS6	Abiebrac	0.5
0	BS6	Abiegran	0.5
0	BS6	Acermacr	0.5
0	BS6	Aesccali	0.5
0	BS6	Alnurhom	0.5
0	BS6	Alnurubr	0.5
0	BS6	Arbumenz	0.5
0	BS6	Lithdens	0.5
0	BS6	Pinuatte	0.5
0	BS6	Pinucoul	0.5
0	BS6	Pinulamb	0.5
0	BS6	Pinumono	0.5
0	BS6	Pinupond	0.5
0	BS6	Pinuradi	0.5
0	BS6	Pinusabi	0.5
0	BS6	Platrace	0.5
0	BS6	Popubals	0.5
0	BS6	Pseumacr	0.5
0	BS6	Pseumenz	0.5
0	BS6	Queragri	0.5
0	BS6	Querchry	0.5
0	BS6	Querdoug	0.5
0	BS6	Quergarr	0.5
0	BS6	Querkell	0.5
0	BS6	Querloba	0.5
0	BS6	Querwisl	0.5
0	BS6	Sequsemp	0.5
0	BS6	Umbecali	0.5
0	BS7	Abiebrac	0.5
0	BS7	Abiegran	0.5
0	BS7	Acermacr	0.5
0	BS7	Aesccali	0.5
0	BS7	Alnurhom	0.5
0	BS7	Alnurubr	0.5
0	BS7	Arbumenz	0.5
0	BS7	Lithdens	0.5
0	BS7	Pinuatte	0.5
0	BS7	Pinucoul	0.5
0	BS7	Pinulamb	0.5
0	BS7	Pinumono	0.5
0	BS7	Pinupond	0.5
0	BS7	Pinuradi	0.5
0	BS7	Pinusabi	0.5
0	BS7	Platrace	0.5
0	BS7	Popubals	0.5
0	BS7	Pseumacr	0.5
0	BS7	Pseumenz	0.5
0	BS7	Queragri	0.5
0	BS7	Querchry	0.5
0	BS7	Querdoug	0.5
0	BS7	Quergarr	0.5
0	BS7	Querkell	0.5
0	BS7	Querloba	0.5
0	BS7	Querwisl	0.5
0	BS7	Sequsemp	0.5
0	BS7	Umbecali	0.5
0	BS8	Abiebrac	0.5
0	BS8	Abiegran	0.5
0	BS8	Acermacr	0.5
0	BS8	Aesccali	0.5
0	BS8	Alnurhom	0.5
0	BS8	Alnurubr	0.5
0	BS8	Arbumenz	0.5
0	BS8	Lithdens	0.5
0	BS8	Pinuatte	0.5
0	BS8	Pinucoul	0.5
0	BS8	Pinulamb	0.5
0	BS8	Pinumono	0.5
0	BS8	Pinupond	0.5
0	BS8	Pinuradi	0.5
0	BS8	Pinusabi	0.5
0	BS8	Platrace	0.5
0	BS8	Popubals	0.5
0	BS8	Pseumacr	0.5
0	BS8	Pseumenz	0.5
0	BS8	Queragri	0.5
0	BS8	Querchry	0.5
0	BS8	Querdoug	0.5
0	BS8	Quergarr	0.5
0	BS8	Querkell	0.5
0	BS8	Querloba	0.5
0	BS8	Querwisl	0.5
0	BS8	Sequsemp	0.5
0	BS8	Umbecali	0.5
0	BS9	Abiebrac	0.5
0	BS9	Abiegran	0.5
0	BS9	Acermacr	0.5
0	BS9	Aesccali	0.5
0	BS9	Alnurhom	0.5
0	BS9	Alnurubr	0.5
0	BS9	Arbumenz	0.5
0	BS9	Lithdens	0.5
0	BS9	Pinuatte	0.5
0	BS9	Pinucoul	0.5
0	BS9	Pinulamb	0.5
0	BS9	Pinumono	0.5
0	BS9	Pinupond	0.5
0	BS9	Pinuradi	0.5
0	BS9	Pinusabi	0.5
0	BS9	Platrace	0.5
0	BS9	Popubals	0.5
0	BS9	Pseumacr	0.5
0	BS9	Pseumenz	0.5
0	BS9	Queragri	0.5
0	BS9	Querchry	0.5
0	BS9	Querdoug	0.5
0	BS9	Quergarr	0.5
0	BS9	Querkell	0.5
0	BS9	Querloba	0.5
0	BS9	Querwisl	0.5
0	BS9	Sequsemp	0.5
0	BS9	Umbecali	0.5
0	BS10	Abiebrac	0.5
0	BS10	Abiegran	0.5
0	BS10	Acermacr	0.5
0	BS10	Aesccali	0.5
0	BS10	Alnurhom	0.5
0	BS10	Alnurubr	0.5
0	BS10	Arbumenz	0.5
0	BS10	Lithdens	0.5
0	BS10	Pinuatte	0.5
0	BS10	Pinucoul	0.5
0	BS10	Pinulamb	0.5
0	BS10	Pinumono	0.5
0	BS10	Pinupond	0.5
0	BS10	Pinuradi	0.5
0	BS10	Pinusabi	0.5
0	BS10	Platrace	0.5
0	BS10	Popubals	0.5
0	BS10	Pseumacr	0.5
0	BS10	Pseumenz	0.5
0	BS10	Queragri	0.5
0	BS10	Querchry	0.5
0	BS10	Querdoug	0.5
0	BS10	Quergarr	0.5
0	BS10	Querkell	0.5
0	BS10	Querloba	0.5
0	BS10	Querwisl	0.5
0	BS10	Sequsemp	0.5
0	BS10	Umbecali	0.5
0	BS11	Abiebrac	0.5
0	BS11	Abiegran	0.5
0	BS11	Acermacr	0.5
0	BS11	Aesccali	0.5
0	BS11	Alnurhom	0.5
0	BS11	Alnurubr	0.5
0	BS11	Arbumenz	0.5
0	BS11	Lithdens	0.5
0	BS11	Pinuatte	0.5
0	BS11	Pinucoul	0.5
0	BS11	Pinulamb	0.5
0	BS11	Pinumono	0.5
0	BS11	Pinupond	0.5
0	BS11	Pinuradi	0.5
0	BS11	Pinusabi	0.5
0	BS11	Platrace	0.5
0	BS11	Popubals	0.5
0	BS11	Pseumacr	0.5
0	BS11	Pseumenz	0.5
0	BS11	Queragri	0.5
0	BS11	Querchry	0.5
0	BS11	Querdoug	0.5
0	BS11	Quergarr	0.5
0	BS11	Querkell	0.5
0	BS11	Querloba	0.5
0	BS11	Querwisl	0.5
0	BS11	Sequsemp	0.5
0	BS11	Umbecali	0.5
0	BS12	Abiebrac	0.5
0	BS12	Abiegran	0.5
0	BS12	Acermacr	0.5
0	BS12	Aesccali	0.5
0	BS12	Alnurhom	0.5
0	BS12	Alnurubr	0.5
0	BS12	Arbumenz	0.5
0	BS12	Lithdens	0.5
0	BS12	Pinuatte	0.5
0	BS12	Pinucoul	0.5
0	BS12	Pinulamb	0.5
0	BS12	Pinumono	0.5
0	BS12	Pinupond	0.5
0	BS12	Pinuradi	0.5
0	BS12	Pinusabi	0.5
0	BS12	Platrace	0.5
0	BS12	Popubals	0.5
0	BS12	Pseumacr	0.5
0	BS12	Pseumenz	0.5
0	BS12	Queragri	0.5
0	BS12	Querchry	0.5
0	BS12	Querdoug	0.5
0	BS12	Quergarr	0.5
0	BS12	Querkell	0.5
0	BS12	Querloba	0.5
0	BS12	Querwisl	0.5
0	BS12	Sequsemp	0.5
0	BS12	Umbecali	0.5
0	BS13	Abiebrac	0.5
0	BS13	Abiegran	0.5
0	BS13	Acermacr	0.5
0	BS13	Aesccali	0.5
0	BS13	Alnurhom	0.5
0	BS13	Alnurubr	0.5
0	BS13	Arbumenz	0.5
0	BS13	Lithdens	0.5
0	BS13	Pinuatte	0.5
0	BS13	Pinucoul	0.5
0	BS13	Pinulamb	0.5
0	BS13	Pinumono	0.5
0	BS13	Pinupond	0.5
0	BS13	Pinuradi	0.5
0	BS13	Pinusabi	0.5
0	BS13	Platrace	0.5
0	BS13	Popubals	0.5
0	BS13	Pseumacr	0.5
0	BS13	Pseumenz	0.5
0	BS13	Queragri	0.5
0	BS13	Querchry	0.5
0	BS13	Querdoug	0.5
0	BS13	Quergarr	0.5
0	BS13	Querkell	0.5
0	BS13	Querloba	0.5
0	BS13	Querwisl	0.5
0	BS13	Sequsemp	0.5
0	BS13	Umbecali	0.5
0	BS14	Abiebrac	0.5
0	BS14	Abiegran	0.5
0	BS14	Acermacr	0.5
0	BS14	Aesccali	0.5
0	BS14	Alnurhom	0.5
0	BS14	Alnurubr	0.5
0	BS14	Arbumenz	0.5
0	BS14	Lithdens	0.5
0	BS14	Pinuatte	0.5
0	BS14	Pinucoul	0.5
0	BS14	Pinulamb	0.5
0	BS14	Pinumono	0.5
0	BS14	Pinupond	0.5
0	BS14	Pinuradi	0.5
0	BS14	Pinusabi	0.5
0	BS14	Platrace	0.5
0	BS14	Popubals	0.5
0	BS14	Pseumacr	0.5
0	BS14	Pseumenz	0.5
0	BS14	Queragri	0.5
0	BS14	Querchry	0.5
0	BS14	Querdoug	0.5
0	BS14	Quergarr	0.5
0	BS14	Querkell	0.5
0	BS14	Querloba	0.5
0	BS14	Querwisl	0.5
0	BS14	Sequsemp	0.5
0	BS14	Umbecali	0.5
0	BS15	Abiebrac	0.5
0	BS15	Abiegran	0.5
0	BS15	Acermacr	0.5
0	BS15	Aesccali	0.5
0	BS15	Alnurhom	0.5
0	BS15	Alnurubr	0.5
0	BS15	Arbumenz	0.5
0	BS15	Lithdens	0.5
0	BS15	Pinuatte	0.5
0	BS15	Pinucoul	0.5
0	BS15	Pinulamb	0.5
0	BS15	Pinumono	0.5
0	BS15	Pinupond	0.5
0	BS15	Pinuradi	0.5
0	BS15	Pinusabi	0.5
0	BS15	Platrace	0.5
0	BS15	Popubals	0.5
0	BS15	Pseumacr	0.5
0	BS15	Pseumenz	0.5
0	BS15	Queragri	0.5
0	BS15	Querchry	0.5
0	BS15	Querdoug	0.5
0	BS15	Quergarr	0.5
0	BS15	Querkell	0.5
0	BS15	Querloba	0.5
0	BS15	Querwisl	0.5
0	BS15	Sequsemp	0.5
0	BS15	Umbecali	0.5
0	BS16	Abiebrac	0.5
0	BS16	Abiegran	0.5
0	BS16	Acermacr	0.5
0	BS16	Aesccali	0.5
0	BS16	Alnurhom	0.5
0	BS16	Alnurubr	0.5
0	BS16	Arbumenz	0.5
0	BS16	Lithdens	0.5
0	BS16	Pinuatte	0.5
0	BS16	Pinucoul	0.5
0	BS16	Pinulamb	0.5
0	BS16	Pinumono	0.5
0	BS16	Pinupond	0.5
0	BS16	Pinuradi	0.5
0	BS16	Pinusabi	0.5
0	BS16	Platrace	0.5
0	BS16	Popubals	0.5
0	BS16	Pseumacr	0.5
0	BS16	Pseumenz	0.5
0	BS16	Queragri	0.5
0	BS16	Querchry	0.5
0	BS16	Querdoug	0.5
0	BS16	Quergarr	0.5
0	BS16	Querkell	0.5
0	BS16	Querloba	0.5
0	BS16	Querwisl	0.5
0	BS16	Sequsemp	0.5
0	BS16	Umbecali	0.5
0	BS17	Abiebrac	0.5
0	BS17	Abiegran	0.5
0	BS17	Acermacr	0.5
0	BS17	Aesccali	0.5
0	BS17	Alnurhom	0.5
0	BS17	Alnurubr	0.5
0	BS17	Arbumenz	0.5
0	BS17	Lithdens	0.5
0	BS17	Pinuatte	0.5
0	BS17	Pinucoul	0.5
0	BS17	Pinulamb	0.5
0	BS17	Pinumono	0.5
0	BS17	Pinupond	0.5
0	BS17	Pinuradi	0.5
0	BS17	Pinusabi	0.5
0	BS17	Platrace	0.5
0	BS17	Popubals	0.5
0	BS17	Pseumacr	0.5
0	BS17	Pseumenz	0.5
0	BS17	Queragri	0.5
0	BS17	Querchry	0.5
0	BS17	Querdoug	0.5
0	BS17	Quergarr	0.5
0	BS17	Querkell	0.5
0	BS17	Querloba	0.5
0	BS17	Querwisl	0.5
0	BS17	Sequsemp	0.5
0	BS17	Umbecali	0.5
